Date,IWQU,SCV,MVOL,XDEM,EIMI,XDEV,IWDA + EMIM,IWDA,DBMF_Testfolio,SCV+MOM,Gov global EUR,SGLD
08/1987,,,,,,,,51665.75346124784,,,13526.88021432362,9308.60836816423
09/1987,,,,,,,,49438.17366903113,,,13285.095394133325,9189.120875588644
10/1987,,,,,,,,40740.7987332138,,,13774.35652607926,9308.434237552428
11/1987,,,,,,,,37341.57287678264,,,13901.78872630929,9189.296883523795
12/1987,,,,,,,,37769.07474318493,,,14027.573649084528,8802.601034015213
01/1988,,,,,,,,39090.53211276137,,,14395.567541334824,8374.95469701233
02/1988,,,,,,,,42547.48087274063,,,14535.714356170976,8018.6137753177345
03/1988,,,,,,,,43230.87360797952,,,14532.548032440513,8482.438929865839
04/1988,,,,,,,,43507.09835733132,,,14508.529346198538,8285.821302599608
05/1988,,,10000.0,,,,,43049.407751444174,,,14456.921228573065,8489.248068573032
06/1988,,,10282.096981973757,,,,,44578.43063248873,,,14567.249362296483,8439.011871983485
07/1988,,,10924.329752153086,,,,,47696.05055256297,,,14536.60211048793,8869.968615136104
08/1988,,,10645.458225053064,,,,,46076.46806820961,,,14498.67527328037,8881.54759870718
09/1988,,,10843.612659418799,,,,,47672.26037143905,,,14781.44475110328,8177.516566503812
10/1988,,,11012.116018940751,,,,,49577.69969077025,,,15061.807428333565,8291.387302798732
11/1988,,,10888.356518312969,,,,,49261.7377521392,,,14990.037423776426,8160.385525754275
12/1988,,,10960.521125780178,,,,,49748.81832871591,,,15039.6727540309,7928.669612401846
01/1989,,,11848.415468829824,,,,,53580.841991388814,,,15163.336930382304,7918.670088323071
02/1989,,,11886.770798957568,,,,,53892.680505504286,,,15029.828545049584,7874.758529802322
03/1989,,,12106.556774154022,,,,,53892.35714919982,,,15113.75091981211,7849.757735908633
04/1989,,,12592.504847415586,,,,,55429.233707333886,,,15301.777284142534,7777.159601835429
05/1989,,,13031.102266457185,,,,,56379.14721838333,,,15465.87373766268,7773.01669977566
06/1989,,,13387.821034338398,,,,,56734.149116425055,,,15781.016656243772,8158.327248725101
07/1989,,,13875.846093758171,,,,,60378.23523421277,,,16109.0024206101,7704.455604438152
08/1989,,,13950.40138739428,,,,,59814.91112407634,,,15978.058658859689,7643.266169828527
09/1989,,,14652.67881025526,,,,,62432.67617970854,,,15981.126343221602,7905.147623041729
10/1989,,,13969.223892747625,,,,,58064.81577812074,,,16192.74724450924,7790.387421524596
11/1989,,,14099.795657601688,,,,,59504.35810243043,,,16288.60498286634,8351.13911511976
12/1989,,,14113.811231023745,,,,,58876.27141089381,,,16368.266136907496,7867.3690072850995
01/1990,,,13142.712921266206,,,,,54469.11282492342,,,16139.294570691876,7904.596369778404
02/1990,,,12674.248258776524,,,,,51429.998832771525,,,16059.544641219023,7662.00570920079
03/1990,,,12330.849705564702,,,,,49156.684497570335,,,16105.096301615516,7046.776765195466
04/1990,,,11692.503247799552,,,,,47813.82234442717,,,16055.94430426694,6942.557687831777
05/1990,,,12500.832917712916,,,,,51972.21691778811,,,16512.46702979106,6742.090728278454
06/1990,,,12597.27288438,,,,,51936.2893586718,,,16720.20153995782,6584.92905865115
07/1990,,,12549.73399895298,,,,,50812.99956710248,,,16891.962272414316,6750.700797716819
08/1990,,,10820.296472830332,,,,,44016.08745791919,,,16692.089319921008,6721.570377725411
09/1990,,,9902.0578089012,,,,,39425.502567483374,,,16760.811367989943,7091.345838167549
10/1990,,,10564.12989970434,,,,,41828.25365985415,,,17158.564757731845,6396.46622944057
11/1990,,,10006.839304539615,,,,,40313.386727401325,,,17508.764107895688,6358.386713227457
12/1990,,,10162.070159953284,,,,,41629.63059363509,,,17756.546201693833,6536.405911180667
01/1991,,,10400.000852694971,,,,,43244.68241785278,,,18075.90102131202,6133.703921154563
02/1991,,,11129.480897683492,,,,,46447.73767331347,,,18293.54878801808,5977.333999532356
03/1991,,,11847.001094598638,,,,,49050.623760898976,,,18383.941905357497,6379.579025531565
04/1991,,,12576.250562356545,,,,,52053.37269383302,,,18588.30294911984,6759.346318083603
05/1991,,,12815.030793972062,,,,,53928.89836108756,,,18732.464386255982,6900.526646240263
06/1991,,,12892.231771276583,,,,,52470.16090620269,,,18729.544660946896,7315.814928465737
07/1991,,,13400.44379837693,,,,,55002.86854333018,,,18993.72061779809,7215.968467804683
08/1991,,,12891.739484405492,,,,,53605.18691617785,,,19397.431825400425,6756.714440503597
09/1991,,,12887.989810551107,,,,,53477.03636276414,,,19822.5379120413,6712.145061145166
10/1991,,,13062.40250478143,,,,,54256.22998872527,,,20056.974099274605,6751.449534224757
11/1991,,,12237.92675820801,,,,,49935.25112253358,,,20268.151123403764,6659.838831055208
12/1991,,,12571.729400824424,,,,,51853.678732368135,,,20859.90842321024,6221.266412955587
01/1992,,,12279.237705136047,,,,,51236.91288564571,,,20895.6849221834,6277.511547331356
02/1992,,,12362.257762658108,,,,,51448.92953572149,,,21082.08373693275,6397.998064121223
03/1992,,,12096.983279788828,,,,,50319.72439921568,,,21063.648038950712,6356.949804906226
04/1992,,,12223.100897934111,,,,,50544.77219690081,,,21283.021994606395,6200.9868296799705
05/1992,,,12373.73195800322,,,,,51534.95697648773,,,21690.45190640308,6103.258608931089
06/1992,,,11956.392271641056,,,,,48367.66329721886,,,21998.897211859607,6032.239528265587
07/1992,,,11487.938607527163,,,,,46169.35226846311,,,22469.16040142277,5987.040883601897
08/1992,,,11244.629724644308,,,,,46084.77317526818,,,22766.794832086205,5544.964205894165
09/1992,,,11297.118050682866,,,,,46702.04033556378,,,23276.770231427683,5823.230968261641
10/1992,,,11572.144158875126,,,,,47311.49259457898,,,23581.408057258177,5896.009861460961
11/1992,,,12340.92626414621,,,,,51297.01146914362,,,23708.820529614488,6188.75732225541
12/1992,,,12528.711613963158,,,,,51662.020363207754,,,24198.99900768795,6160.697543497624
01/1993,,,12826.500543380824,,,,,52831.359429787815,,,24724.66793056577,6234.792144545395
02/1993,,,13562.797240953616,,,,,55414.17284654822,,,25341.114664320357,6335.022981566273
03/1993,,,14247.505050541187,,,,,58899.1593581206,,,25477.35536016192,6564.4240940707095
04/1993,,,14288.825535222037,,,,,59516.307344798544,,,25703.44665681588,6650.803742960907
05/1993,,,14416.183708846009,,,,,61022.25457271145,,,25880.43527580554,7102.83826455543
06/1993,,,14775.054972410482,,,,,62260.04096680264,,,26539.237754415586,7329.486657113399
07/1993,,,15894.984323874382,,,,,66220.86479518817,,,26892.889482478684,8110.74110631149
08/1993,,,16551.43156126502,,,,,69769.04850187237,,,27572.96847288502,7558.363429685364
09/1993,,,15675.00593155281,,,,,65741.37080178072,,,27856.339650856087,6944.339473385599
10/1993,,,16315.579636135799,,,,,68329.99619211243,,,28218.18831044571,7304.524135933434
11/1993,,,15818.833447044131,,,,,66179.55510872968,,,28334.95759493546,7527.08364110992
12/1993,,,16499.861733645208,,,,,69370.94192018235,,,28803.76092184408,7924.3802627880195
01/1994,,,17447.92914700808,,,,,74932.61826972775,,,28911.77103040657,7769.689682816345
02/1994,,,17039.95475505597,,,,,73661.9281756616,,,28423.58506757783,7814.559563162669
03/1994,,,16026.44399455186,,,,,69012.78808871844,,,28148.726467112643,7806.43808914085
04/1994,,,16316.471587888082,,,,,71336.22966300108,,,28034.16670447842,7572.59489275147
05/1994,,,15937.68612391352,,10000.0,,10000.0,69966.81294128968,,,27939.561686101904,7629.312055937495
06/1994,,,15626.484794886344,10000.0,9714.868696839832,,9796.868260933748,68623.80010453313,,,27787.59787491344,7518.012567385958
07/1994,,,15435.343786896125,9701.71937932652,9944.476675173462,,9715.528513374817,67758.01879560869,,,28116.86595107093,7206.549892679485
08/1994,,,15743.78303324687,10027.978441187342,11355.998973334254,,10149.70033435899,69863.2974991807,,,27990.607559326647,7247.709285893639
09/1994,,,15374.133898018472,9657.2647256692,11443.100293267413,,9835.668273656122,67283.39674238417,,,27923.84843469186,7339.186883210977
10/1994,,,15311.532402034249,9800.378708566866,11182.976107905375,,9876.934057397357,67859.67431035533,,,27991.288170969638,6998.372748555297
