Date,Vt,10g,10gd,10gdb
10/2003,7767.71,8291.02,8939.8,9806.47
11/2003,7904.6,8447.23,9093.28,9954.72
12/2003,8384.96,8948.54,9611.09,10455.13
01/2004,8549.76,9071.35,9734.75,10572.55
02/2004,8717.36,9223.95,9920.1,10759.34
03/2004,8689.76,9257.31,9951.28,10813.71
04/2004,8465.7,8966.43,9626.69,10460.58
05/2004,8547.45,9055.16,9698.78,10517.21
06/2004,8741.09,9246.63,9860.57,10665.9
07/2004,8430.37,8938.73,9560.55,10412.99
08/2004,8477.06,9017.65,9629.38,10510.19
09/2004,8677.1,9227.85,9836.79,10701.24
10/2004,8891.61,9455.16,10084.3,10944.29
11/2004,9421.59,10015.52,10662.94,11461.65
12/2004,9804.97,10355.81,10990.1,11761.95
01/2005,9593.96,10118.2,10734.05,11537.6
02/2005,9920.24,10459.41,11071.94,11829.63
03/2005,9689.64,10224.0,10852.94,11628.67
04/2005,9479.14,10036.78,10657.54,11481.42
05/2005,9658.91,10167.75,10793.37,11613.52
06/2005,9763.03,10309.48,10954.58,11777.52
07/2005,10144.99,10658.19,11281.73,12041.15
08/2005,10249.77,10771.91,11392.71,12165.67
09/2005,10541.58,11127.89,11757.4,12483.64
10/2005,10265.09,10858.32,11505.66,12249.6
11/2005,10604.84,11245.71,11910.75,12630.76
12/2005,10896.07,11581.81,12222.88,12930.36
01/2006,11472.0,12248.13,12874.16,13514.91
02/2006,11430.13,12194.3,12816.09,13468.51
03/2006,11721.96,12519.57,13155.94,13756.9
04/2006,12103.1,13041.73,13696.28,14256.98
05/2006,11635.67,12575.73,13239.01,13854.9
06/2006,11626.32,12499.8,13144.2,13758.49
07/2006,11695.15,12609.52,13228.62,13861.65
08/2006,11982.08,12864.94,13466.88,14094.86
09/2006,12122.87,12936.56,13521.69,14144.14
10/2006,12584.46,13395.95,13973.11,14554.22
11/2006,12971.69,13860.37,14451.15,15013.57
12/2006,13260.82,14110.82,14718.35,15235.31
01/2007,13444.62,14323.47,14938.45,15429.93
02/2007,13355.03,14274.96,14873.6,15412.92
03/2007,13632.57,14524.74,15084.8,15584.46
04/2007,14174.56,15074.44,15649.8,16076.7
05/2007,14652.06,15497.61,16088.86,16430.63
06/2007,14598.96,15418.83,16051.15,16393.59
07/2007,14298.9,15165.96,15781.64,16187.49
08/2007,14332.71,15215.22,15768.52,16202.42
09/2007,15080.05,16087.88,16661.65,17012.32
10/2007,15713.64,16809.72,17401.68,17690.88
11/2007,15004.64,16102.18,16730.89,17165.44
12/2007,14769.23,15992.48,16658.41,17151.46
01/2008,13664.69,15090.04,15873.29,16567.75
02/2008,13518.12,15040.52,15918.57,16642.22
03/2008,13433.41,14846.55,15724.87,16468.01
04/2008,14175.68,15497.52,16286.69,16908.22
05/2008,14427.58,15759.11,16563.62,17123.56
06/2008,13143.4,14584.95,15528.8,16282.83
07/2008,12791.44,14216.9,15138.13,15942.46
08/2008,12556.13,13825.41,14727.28,15582.07
09/2008,11413.26,12777.53,13772.92,14785.08
10/2008,8967.25,10127.21,11378.02,12668.9
11/2008,8357.4,9707.91,11050.77,12537.03
12/2008,8809.9,10270.36,11619.37,13177.92
01/2009,7854.09,9324.72,10679.22,12285.06
02/2009,7106.51,8556.37,9911.87,11571.18
03/2009,7734.88,9188.12,10516.61,12137.09
04/2009,8667.91,10131.64,11440.1,12984.13
05/2009,9587.68,11203.16,12547.25,14046.59
06/2009,9422.67,10970.72,12287.45,13801.18
07/2009,10377.41,11998.63,13322.17,14786.4
08/2009,10656.06,12291.96,13628.69,15091.8
09/2009,11215.4,12944.07,14318.71,15769.22
10/2009,10932.84,12691.85,14051.52,15535.19
11/2009,11516.3,13460.59,14876.49,16366.66
12/2009,11695.82,13550.15,14917.85,16343.17
01/2010,11099.35,12911.57,14262.57,15781.8
02/2010,11330.76,13197.1,14568.2,16076.22
03/2010,12086.3,13979.34,15374.98,16796.19
04/2010,12032.78,14005.04,15433.36,16897.95
05/2010,10844.34,12810.85,14250.43,15879.41
06/2010,10540.98,12530.48,13978.94,15682.42
07/2010,11511.12,13464.21,14878.15,16486.41
08/2010,11052.97,13070.44,14558.21,16272.47
09/2010,12164.5,14303.78,15796.7,17396.2
10/2010,12627.05,14846.28,16379.91,17946.62
11/2010,12293.79,14534.84,16035.26,17620.84
12/2010,13235.83,15559.54,17098.86,18561.73
01/2011,13422.21,15657.92,17160.39,18591.76
02/2011,13816.26,16162.71,17686.3,19087.97
03/2011,13808.96,16180.24,17691.06,19090.53
04/2011,14410.87,16958.06,18531.23,19916.81
05/2011,14084.98,16583.17,18084.91,19534.26
06/2011,13897.6,16344.61,17821.31,19276.72
07/2011,13599.29,16167.67,17721.79,19277.89
08/2011,12614.0,15344.39,16922.7,18665.78
09/2011,11262.76,13694.26,15298.8,17206.77
10/2011,12532.56,15142.74,16664.83,18425.84
11/2011,12378.21,15011.48,16545.3,18326.71
12/2011,12252.48,14674.82,16204.8,18018.59
01/2012,12922.96,15565.29,17112.93,18897.61
02/2012,13539.6,16181.97,17729.89,19448.71
03/2012,13699.48,16333.93,17845.46,19528.16
04/2012,13538.57,16158.66,17676.64,19404.55
05/2012,12330.33,14757.58,16340.89,18211.32
06/2012,12964.17,15475.84,16997.33,18803.23
07/2012,13058.72,15590.84,17161.96,18999.46
08/2012,13383.32,16016.13,17571.44,19387.69
09/2012,13800.42,16540.48,18083.88,19870.55
10/2012,13718.01,16403.18,17895.91,19676.89
11/2012,13928.7,16623.28,18111.29,19877.46
12/2012,14361.45,17051.21,18529.52,20242.08
01/2013,14937.86,17659.07,19145.33,20771.98
02/2013,14892.26,17524.5,19009.34,20649.25
03/2013,15243.37,17915.68,19416.61,21022.31
